ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
87,Пиво,Brinkhoff's No. 1,Pilsner,Германия,Квадрат,Нет,Lager,Pilsner,,,,,,,
88,Заведение,Betfair,Букмекер,Англия,Квадрат,Да,-,,,,,,,,
89,Пиво,Žatecký Gus,Pilsner,Россия,Квадрат,Да,Lager,Pilsner,,,,,,,
90,Пиво,IPA/Bitter,Много,Англия,Другое,Да,Ale,Pale Ale,,,,,,,
91,Заведение,Brew Dog,Пивоварня,Англия,Другое,Да,-,,,,,,,,
92,Заведение,The Queens Head,Ресторан,Англия,Круг,Да,-,,,,,,,,
93,Пиво,Murauer,Märzen,Австрия,Овал,Да,Lager,German Lager,Marzen,,,,,,
94,Пиво,Snowdonia Ale,English Bitter,Уэльс,Круг,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
95,Заведение,Great Divide,Пивоварня,США,Круг,Да,-,,,,,,,,
96,Пиво,Weizenfeld,Pilsner,Россия,Круг,Да,Lager,Pilsner,,,,,,,
97,Заведение,Балтика,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
98,Заведение,AleSmith,Пивоварня,США,Круг,Да,-,,,,,,,,
99,Заведение,Paulaner,Пивоварня,Германия,Круг,Да,-,,,,,,,,
100,Заведение,Лидское Пиво,Пивоварня,Беларусь,Круг,Да,-,,,,,,,,
101,Заведение,Affligem Brouwerij,Пивоварня,Бельгия,Круг,Да,-,,,,,,,,
102,Пиво,Weihenstephaner Original,Helles,Германия,Круг,Да,Lager,German lager,Bock,Helles,,,,,
103,Пиво,Dom Kölsch,Kölsch,Германия,Круг,Да,Lager,Kolsch,,,,,,,
104,Ликёр,Southern Comfort,-,США,Квадрат,Нет,-,,,,,,,,
105,Пиво,Blanche de bruxelles,Witbier,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Witbier,,,,,,
106,Пиво,Staropramen Granát,Lager,Чехия,Квадрат,Нет,Lager,,,,,,,,
107,Заведение,The fish market,Ресторан,Англия,Квадрат,Нет,-,,,,,,,,
108,Пиво,Spaten,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
109,Пиво,Spaten,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
110,Ром,Bacardi,Superior,Бермуды,Квадрат,Да,-,,,,,,,,
111,Пиво,Murphy's,Много,Ирландия,Квадрат,Да,-,,,,,,,,
112,Пиво,Rouge De Fleur,Fruit Beer,Россия,Круг,Нет,Ale,Lambic,Fruit,,,,,,
113,Заведение,Jack and Chan,Ресторан,Россия,Круг,Нет,-,,,,,,,,
114,Пиво,Iron Woods,Stout,Россия,Круг,Нет,Ale,Stout,,,,,,,
115,Пиво,Young's Double Chocolate Stout,Stout,Англия,Круг,Нет,Ale,Stout,,,,,,,
116,Заведение,Redrum,Бар,Россия,Круг,Нет,-,,,,,,,,
117,Пиво,Hobgoblin,Brown Ale,Англия,Квадрат,Да,Ale,Brown Ale,,,,,,,
118,Заведение,Fuller,Пивоварня,Англия,Квадрат,Да,-,,,,,,,,
119,Пиво,Жигули,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
120,Пиво,Балтика 7,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
121,Пиво,Kronenbourg 1664,Lager,Франция,Квадрат,Да,Lager,,,,,,,,
122,Пиво,Hell Hunt,Red Ale,Эстония,Квадрат,Да,Ale,Irish Ale,Red Ale,,,,,,
123,Пиво,Guinness,Stout,Ирландия,Квадрат,Да,Ale,Stout,,,,,,,
124,Пиво,Coors Light,Lager,США,Квадрат,Да,Lager,,,,,,,,
125,Пиво,Leffe,Много,Бельгия,Квадрат,Да,-,,,,,,,,
126,Пиво,Zlatý Bažant,Pilsner,Словакия,Квадрат,Да,Lager,Pilsner,,,,,,,
127,Пиво,Young's,Много,Англия,Квадрат,Да,Ale,Stout,,,,,,,
128,Чай,-,-,Россия,Квадрат,Да,-,,,,,Документ (статистика),,,
129,Пиво,SA,English Bitter,Уэльс,Квадрат,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
130,Сидр,Fizz,Cider,Финляндия,Квадрат,Да,-,,,,,,,,
131,Пиво,Bowler IPA,India Pale Ale,Россия,Круг,Нет,Ale,Pale Ale,India Pale Ale,,,,,,
132,Пиво,Bowler Brilliant Ale,Pale Ale,Россия,Круг,Нет,Ale,Pale Ale,,,,,,,
133,Пиво,Estrella Damm,Lager,Испания,Круг,Да,Lager,,,,,,,,
134,Пиво,Estrella Damm,Lager,Испания,Круг,Да,Lager,,,,,,,,
135,Заведение,Zagovor Brewery,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
136,Пиво,Bowler Brilliant Ale,Pale Ale,Россия,Круг,Да,Ale,Pale Ale,,,,,,,
137,Заведение,Василеостровская пивоварня,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
138,Пиво,Pauwel Kwak,Belgian Strong Golden Ale,Бельгия,Квадрат,Да,Ale,Belgian/French Ale,Belgian Pale Ale,Belgian Strong Golden Ale,,,,,
139,Заведение,Belhaven Brewery,Пивоварня,Шотландия,Овал,Да,-,,,,,,,,
140,Заведение,New Belgium Brewing ,Пивоварня,США,Квадрат,Да,-,,,,,,,,
141,Пиво,Pauwel Kwak,Belgian Strong Golden Ale,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Belgian Pale Ale,Belgian Strong Golden Ale,,,,,
142,Пиво,Jupiler,Lager,Бельгия,Другое,Нет,Lager,,,,,,,,
143,Пиво,Hoegaarden Blanche,Witbier,Бельгия,Шестигранник,Нет,Ale,Belgian/French Ale,Witbier,,,,,,
144,Заведение,Crazy Craft,Магазин,Россия,Круг,Нет,-,,,,,,,,
145,Пиво,Сибирская Корона,Lager,Россия,Другое,Нет,Lager,,,,,,,,
146,Пиво,Aecht PatzenHofer,Lager,Германия,Овал,Нет,Lager,,,,,,,,
147,Пиво,Krušovice,Lager,Чехия,Другое,Да,Lager,,,,,,,,
148,Пиво,Ruddles Best,English Bitter,Англия,Овал,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
149,Заведение,Volfas Engelman,Пивоварня,Литва,Квадрат,Да,-,,,,,,,,
150,Пиво,Kronenbourg 1664,Lager,Франция,Другое,Да,Lager,,,,,,,,
151,Пиво,Kronenbourg 1664,Lager,Франция,Другое,Да,Lager,,,,,,,,
152,Пиво,Budweiser Budvar,Pilsner,Чехия,Другое,Да,Lager,Pilsner,,,,,,,
153,Пиво,Хамовники,Lager,Россия,Другое,Нет,Lager,,,,,,,,
154,Пиво,Hoegaarden,Witbier,Бельгия,Шестигранник,Да,Ale,Belgian/French Ale,Witbier,,,,,,
155,Пиво,Hoegaarden,Witbier,Бельгия,Шестигранник,Да,Ale,Belgian/French Ale,Witbier,,,,,,
156,Пиво,Hoegaarden,Witbier,Бельгия,Шестигранник,Да,Ale,Belgian/French Ale,Witbier,,,,,,
157,Пиво,Samuel Adams OctoberFest,Märzen,США,Другое,Да,Lager,German Lager,Marzen,,,,,,
158,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
159,Заведение,Nakashita,Ресторан,Испания,Круг,Да,-,,,,,,,,
160,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
161,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
162,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
163,Заведение,Карл и Фридрих,Ресторан-пивоварня,Россия,Другое,Да,-,,,,,,,,
164,Пиво,Foster's,Lager,Австралия,Другое,Да,Lager,,,,,,,,
165,Пиво,Foster's,Lager,Австралия,Другое,Да,Lager,,,,,,,,
166,Заведение,Juliusspital,Сервис-компания,Германия,Круг,Да,-,,,,,,,,
167,Пиво,Tuborg,Pilsner,Дания,Другое,Да,Lager,Pilsner,,,,,,,
168,Пиво,Holsten ,Pilsner,Германия,Другое,Да,Lager,Pilsner,,,,,,,
169,Пиво,Pilsner Urquell,Pilsner,Чехия,Другое,Да,Lager,Pilsner,,,,,,,
170,Пиво,Kronenbourg 1664 Blanc,Witbier,Франция,Другое,Да,Ale,Belgian/French Ale,Witbier,,,,,,
171,Пиво,Старый Мельник ,Lager,Россия,Другое,Да,Lager,,,,,,,,
172,Пиво,Allgäuer Büble Bier ,Märzen,Германия,Круг,Да,Lager,German Lager,Marzen,,,,,,
173,Пиво,Ярпиво ,Lager,Россия,Другое,Да,Lager,,,,,,,,
174,Пиво,Tuborg Green ,Lager,Швеция,Другое,Да,Lager,,,,,,,,
175,Пиво,London Pride,English Bitter,Англия,Другое,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
176,Пиво,Krušovice,Lager,Чехия,Квадрат,Да,Lager,,,,,,,,
177,Пиво,London Porter,Porter,Англия,Другое,Да,Ale,Stout,,,,,,,
178,Пиво,Karhu,Lager,Финляндия,Другое,Да,Lager,,,,,,,,
179,Пиво,Spaten,Lager,Германия,Квадрат,Нет,Lager,,,,,,,,
180,Пиво,Spitfire Premium Kentish Ale,English Bitter,Англия,Квадрат,Нет,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
181,Пиво,Carlsberg,Lager,Дания,Квадрат,Нет,Lager,,,,,,,,
182,Пиво,Невское,Lager,Россия,Квадрат,Нет,Lager,,,,,,,,
183,Пиво,Veltins ,Pilsner,Германия,Квадрат,Нет,Lager,Pilsner,,,,,,,
184,Пиво,Spaten,Lager,Германия,Квадрат,Нет,Lager,,,,,,,,
